x t u
0.494949 0.250000 -0.809522
0.515152 0.250000 -0.783832
0.535354 0.250000 -0.757158
0.555556 0.250000 -0.729586
0.575758 0.250000 -0.701192
0.595960 0.250000 -0.672042
0.616162 0.250000 -0.642198
0.636364 0.250000 -0.611712
0.656566 0.250000 -0.580632
0.676768 0.250000 -0.549006
0.696970 0.250000 -0.516875
0.717172 0.250000 -0.484285
0.737374 0.250000 -0.451279
0.757576 0.250000 -0.417900
0.777778 0.250000 -0.384187
0.797980 0.250000 -0.350179
0.818182 0.250000 -0.315913
0.838384 0.250000 -0.281420
0.858586 0.250000 -0.246725
0.878788 0.250000 -0.211852
0.898990 0.250000 -0.176817
0.919192 0.250000 -0.141640
0.939394 0.250000 -0.106340
0.959596 0.250000 -0.070943
0.979798 0.250000 -0.035485
1.000000 0.250000 -0.000004
-1.000000 0.500000 0.000011
-0.979798 0.500000 0.024596
-0.959596 0.500000 0.049193
-0.939394 0.500000 0.073794
-0.919192 0.500000 0.098387
-0.898990 0.500000 0.122962
-0.878788 0.500000 0.147510
-0.858586 0.500000 0.172022
-0.838384 0.500000 0.196489
-0.818182 0.500000 0.220902
-0.797980 0.500000 0.245253
-0.777778 0.500000 0.269533
-0.757576 0.500000 0.293738
-0.737374 0.500000 0.317863
-0.717172 0.500000 0.341905
-0.696970 0.500000 0.365859
-0.676768 0.500000 0.389720
-0.656566 0.500000 0.413480
-0.636364 0.500000 0.437130
-0.616162 0.500000 0.460657
-0.595960 0.500000 0.484048
-0.575758 0.500000 0.507290
-0.555556 0.500000 0.530366
-0.535354 0.500000 0.553262
-0.515152 0.500000 0.575963
-0.494949 0.500000 0.598453
-0.474747 0.500000 0.620718
-0.454545 0.500000 0.642742
-0.434343 0.500000 0.664509
-0.414141 0.500000 0.686001
-0.393939 0.500000 0.707199
-0.373737 0.500000 0.728083
-0.353535 0.500000 0.748628
-0.333333 0.500000 0.768805
-0.313131 0.500000 0.788583
-0.292929 0.500000 0.807922
-0.272727 0.500000 0.826780
-0.252525 0.500000 0.845105
-0.232323 0.500000 0.862839
-0.212121 0.500000 0.879912
-0.191919 0.500000 0.896244
-0.171717 0.500000 0.911740
-0.151515 0.500000 0.926288
-0.131313 0.500000 0.939754
-0.111111 0.500000 0.951973
-0.090909 0.500000 0.962738
-0.070707 0.500000 0.971782
-0.050505 0.500000 0.978771
-0.030303 0.500000 0.982923
-0.010101 0.500000 0.899931
0.010101 0.500000 -0.901515
0.030303 0.500000 -0.982974
0.050505 0.500000 -0.978970
0.070707 0.500000 -0.972026
0.090909 0.500000 -0.962965
0.111111 0.500000 -0.952144
0.131313 0.500000 -0.939835
0.151515 0.500000 -0.926281
0.171717 0.500000 -0.911673
0.191919 0.500000 -0.896154
0.212121 0.500000 -0.879829
0.232323 0.500000 -0.862780
0.252525 0.500000 -0.845074
0.272727 0.500000 -0.826770
0.292929 0.500000 -0.807925
0.313131 0.500000 -0.788588
0.333333 0.500000 -0.768806
0.353535 0.500000 -0.748620
0.373737 0.500000 -0.728066
0.393939 0.500000 -0.707173
0.414141 0.500000 -0.685967
0.434343 0.500000 -0.664470
0.454545 0.500000 -0.642700
0.474747 0.500000 -0.620674
0.494949 0.500000 -0.598408
0.515152 0.500000 -0.575919
0.535354 0.500000 -0.553223
0.555556 0.500000 -0.530336
0.575758 0.500000 -0.507275
0.595960 0.500000 -0.484053
0.616162 0.500000 -0.460685
0.636364 0.500000 -0.437180
0.656566 0.500000 -0.413548
0.676768 0.500000 -0.389797
0.696970 0.500000 -0.365936
0.717172 0.500000 -0.341971
0.737374 0.500000 -0.317913
0.757576 0.500000 -0.293769
0.777778 0.500000 -0.269550
0.797980 0.500000 -0.245264
0.818182 0.500000 -0.220918
0.838384 0.500000 -0.196517
0.858586 0.500000 -0.172066
0.878788 0.500000 -0.147570
0.898990 0.500000 -0.123033
0.919192 0.500000 -0.098462
0.939394 0.500000 -0.073864
